,Location_id,Item_id,POI_Type,L2_Category_name,POI
16,12,12,1,10,Combined
25,18,18,1,5,Combined
28,20,12,1,2,Combined
32,24,23,1,10,Combined
33,25,23,1,10,Combined
41,33,18,1,17,Combined
42,34,31,1,15,Combined
45,37,34,1,20,Combined
57,42,18,1,23,Combined
60,43,18,1,15,Combined
97,52,34,1,28,Combined
99,53,31,1,29,Combined
105,55,31,1,20,Combined
107,56,34,1,28,Combined
119,57,18,1,15,Combined
120,58,48,1,31,Combined
121,59,48,1,28,Combined
128,60,49,1,20,Combined
129,61,50,1,32,Combined
137,64,53,1,22,Combined
145,69,58,1,14,Combined
152,73,49,1,35,Combined
153,74,49,1,20,Combined
154,75,49,1,36,Combined
155,76,49,1,37,Combined
158,78,63,1,22,Combined
159,79,64,1,15,Combined
160,80,53,1,37,Combined
179,90,74,1,41,Combined
181,91,12,1,32,Combined
182,92,31,1,39,Combined
189,96,31,1,29,Combined
191,97,78,1,28,Combined
192,98,78,1,20,Combined
193,99,78,1,36,Combined
232,111,90,1,28,Combined
234,113,92,1,22,Combined
235,114,92,1,48,Combined
236,115,93,1,5,Combined
238,116,93,1,49,Combined
259,123,49,1,10,Combined
262,124,100,1,2,Combined
264,125,48,1,52,Combined
276,126,93,1,53,Combined
297,130,93,1,45,Combined
300,131,92,1,56,Combined
304,134,100,1,17,Combined
305,135,58,1,43,Combined
306,136,58,1,58,Combined
309,137,106,1,5,Combined
339,145,114,1,52,Combined
341,147,58,1,28,Combined
354,151,50,1,23,Combined
356,152,119,1,28,Combined
383,156,34,1,60,Combined
387,157,58,1,10,Combined
408,160,92,1,15,Combined
418,161,106,1,43,Combined
440,165,58,1,15,Combined
463,168,130,1,22,Combined
465,169,130,1,5,Combined
467,170,131,1,63,Combined
471,171,131,1,23,Combined
481,173,130,1,64,Combined
488,177,49,1,10,Combined
499,181,93,1,27,Combined
508,185,58,1,22,Combined
584,202,78,1,22,Combined
609,212,18,1,76,Combined
610,213,18,1,43,Combined
624,224,31,1,43,Combined
691,245,93,1,85,Combined
699,250,78,1,63,Combined
701,251,53,1,72,Combined
710,256,58,1,5,Combined
727,262,18,1,87,Combined
733,264,211,1,88,Combined
734,265,211,1,28,Combined
735,266,106,1,22,Combined
738,268,106,1,2,Combined
740,270,50,1,17,Combined
754,275,106,1,10,Combined
778,287,49,1,67,Combined
779,288,49,1,36,Combined
782,289,49,1,67,Combined
796,298,49,1,36,Combined
805,303,241,1,23,Combined
807,304,23,1,2,Combined
842,318,241,1,28,Combined
848,321,241,1,28,Combined
850,322,241,1,10,Combined
851,323,131,1,5,Combined
852,324,257,1,101,Combined
854,325,100,1,82,Combined
878,335,211,1,48,Combined
879,336,211,1,104,Combined
880,337,211,1,22,Combined
883,339,211,1,63,Combined
884,340,211,1,105,Combined
926,353,280,1,14,Combined
932,356,283,1,22,Combined
933,357,283,1,21,Combined
934,358,93,1,22,Combined
942,360,106,1,108,Combined
945,361,58,1,39,Combined
946,362,280,1,53,Combined
962,369,31,1,109,Combined
1007,389,93,1,72,Combined
1011,392,18,1,66,Combined
1015,395,18,1,76,Combined
1025,400,18,1,76,Combined
1026,401,114,1,1,Combined
1043,406,241,1,36,Combined
1064,413,23,1,3,Combined
1072,416,93,1,27,Combined
1137,432,106,1,61,Combined
1153,435,90,1,15,Combined
1162,441,241,1,15,Combined
1163,442,241,1,29,Combined
1164,443,92,1,61,Combined
1166,444,241,1,41,Combined
1167,445,241,1,67,Combined
1175,450,100,1,27,Combined
1176,451,90,1,52,Combined
1210,458,74,1,10,Combined
1274,472,12,1,0,Combined
1288,478,78,1,87,Combined
1289,479,78,1,58,Combined
1298,485,23,1,1,Combined
1320,496,49,1,123,Combined
1322,498,280,1,18,Combined
1327,500,397,1,22,Combined
1329,501,18,1,87,Combined
1409,522,50,1,48,Combined
1412,523,106,1,71,Combined
1436,529,78,1,41,Combined
1439,530,241,1,28,Combined
1440,531,241,1,48,Combined
1441,532,93,1,39,Combined
1442,533,93,1,107,Combined
1444,534,93,1,107,Combined
1449,537,93,1,5,Combined
1450,538,58,1,20,Combined
1458,540,93,1,22,Combined
1481,550,90,1,66,Combined
1488,553,241,1,131,Combined
1505,555,92,1,20,Combined
1506,556,92,1,5,Combined
1507,557,92,1,23,Combined
1527,564,93,1,10,Combined
1538,568,23,1,1,Combined
1554,575,211,1,49,Combined
1563,578,455,1,22,Combined
1567,579,93,1,14,Combined
1568,580,93,1,95,Combined
1569,581,241,1,15,Combined
1575,583,93,1,5,Combined
1581,589,257,1,14,Combined
1603,599,283,1,83,Combined
1612,601,283,1,43,Combined
1618,603,280,1,29,Combined
1619,604,283,1,15,Combined
1638,611,53,1,5,Combined
1653,616,114,1,28,Combined
1658,617,131,1,61,Combined
1661,618,31,1,73,Combined
1662,619,90,1,43,Combined
1664,621,283,1,66,Combined
1697,627,100,1,2,Combined
1716,636,18,1,37,Combined
1757,646,74,1,5,Combined
1802,661,520,1,5,Combined
1859,673,12,1,12,Combined
1882,679,283,1,58,Combined
1883,680,283,1,37,Combined
1888,685,106,1,1,Combined
1890,687,53,1,53,Combined
1934,696,93,1,27,Combined
1935,697,93,1,117,Combined
1942,700,58,1,52,Combined
1951,703,34,1,52,Combined
1964,712,93,1,63,Combined
1983,714,93,1,10,Combined
1984,715,257,1,45,Combined
1987,717,58,1,5,Combined
2055,737,93,1,15,Combined
2056,738,90,1,28,Combined
2057,739,90,1,28,Combined
2059,740,241,1,36,Combined
2066,743,78,1,43,Combined
