Item_id,POI_Type,stars,L2_Category_name,clusters
0,0,4.0,0,0
1,0,4.5,1,1
2,1,4.5,2,0
3,0,5.0,3,0
2,1,3.5,4,0
4,1,3.0,5,0
4,1,2.0,6,0
4,1,3.5,7,0
5,0,3.5,8,0
6,0,4.0,9,0
7,1,3.5,10,2
8,0,3.0,11,3
9,0,1.5,10,0
10,0,3.0,7,0
11,0,3.5,9,4
12,0,3.0,12,4
13,1,4.0,13,4
14,0,2.5,9,4
15,0,2.5,9,5
16,0,3.5,12,5
17,1,3.5,14,5
18,1,2.5,15,6
19,0,3.5,9,3
20,0,4.0,16,3
21,1,3.0,17,0
22,1,3.5,18,0
23,1,4.0,19,3
24,0,3.5,18,0
25,0,2.5,20,6
26,0,2.5,21,4
27,0,2.5,11,6
28,1,3.5,22,6
29,1,4.0,23,6
7,1,2.5,24,2
30,0,4.5,25,6
18,1,3.5,19,6
31,0,2.0,26,6
32,0,2.5,27,4
33,0,3.5,28,3
34,1,3.5,19,7
35,0,3.5,19,6
36,1,4.0,19,6
7,1,2.5,27,2
7,1,2.0,29,2
37,0,4.0,23,6
38,1,3.0,30,6
39,1,2.0,31,6
7,1,2.5,32,2
40,0,2.0,33,6
41,0,2.0,34,4
38,1,3.5,19,6
38,1,1.5,33,6
42,0,4.0,35,7
43,0,4.0,36,7
44,0,5.0,21,6
39,1,3.0,13,6
45,0,4.0,33,6
46,0,2.0,27,6
47,0,4.0,26,6
48,0,1.5,33,6
49,0,3.0,37,6
50,0,4.0,38,7
51,0,1.5,27,4
52,1,2.5,27,3
53,0,2.0,21,6
34,1,3.5,39,7
54,1,3.0,40,8
55,0,2.0,31,6
56,0,3.5,20,6
39,1,2.5,41,6
7,1,2.0,12,2
7,1,2.5,42,2
57,0,3.0,43,2
7,1,3.0,33,2
7,1,2.0,24,2
7,1,3.0,12,2
7,1,3.5,12,2
7,1,2.5,12,2
58,0,3.5,11,4
7,1,2.0,7,2
7,1,2.0,44,2
7,1,3.0,45,2
59,0,2.5,27,2
60,0,3.0,10,2
61,0,3.5,2,1
62,1,4.0,32,0
63,0,3.5,46,0
64,1,3.5,45,0
65,0,4.0,47,0
66,0,4.5,38,3
67,1,3.5,46,0
68,0,3.5,48,0
69,0,2.5,24,3
70,0,2.5,12,6
71,0,3.0,26,0
72,0,2.5,21,0
73,0,3.5,49,0
74,0,4.5,12,1
75,0,4.5,50,0
76,0,4.0,51,0
77,0,4.5,52,6
78,1,4.5,19,0
79,0,4.0,29,4
80,0,4.0,53,4
81,0,3.0,29,3
82,1,4.0,54,3
83,0,2.5,55,2
84,0,2.5,52,2
85,0,4.0,38,2
86,0,3.5,56,0
13,1,4.0,19,4
87,0,4.5,28,6
88,0,3.0,57,0
89,0,5.0,35,6
90,0,3.5,19,0
64,1,4.5,29,0
91,0,4.0,32,0
92,1,2.0,55,4
93,0,4.0,58,0
94,0,5.0,59,0
95,0,5.0,60,1
96,0,2.0,61,1
97,0,3.0,27,0
39,1,2.5,22,6
98,1,5.0,19,0
99,0,2.5,62,0
98,1,5.0,63,0
100,1,4.0,22,4
13,1,4.0,37,4
101,0,4.0,18,4
102,0,4.0,60,3
103,0,2.5,12,3
38,1,2.5,64,6
104,0,2.0,27,4
105,0,4.0,22,3
106,1,2.5,20,3
106,1,2.5,11,3
107,0,4.5,65,4
108,0,3.0,9,2
109,0,3.0,24,0
64,1,3.5,19,0
98,1,4.5,19,0
106,1,2.0,27,3
13,1,2.0,61,4
110,0,3.0,27,4
111,0,2.5,66,3
112,0,3.0,12,4
113,0,4.5,67,0
114,0,5.0,68,4
