,Location_id,Item_id,POI_Type,L2_Category_name,POI
2,2,2,1,2,Combined
4,4,2,1,4,Combined
5,5,4,1,5,Combined
6,6,4,1,6,Combined
7,7,4,1,7,Combined
13,10,7,1,10,Combined
24,16,13,1,13,Combined
29,20,17,1,14,Combined
30,21,18,1,15,Combined
34,24,21,1,17,Combined
35,25,22,1,18,Combined
36,26,23,1,19,Combined
43,31,28,1,22,Combined
45,32,29,1,23,Combined
46,33,7,1,24,Combined
50,35,18,1,19,Combined
57,39,34,1,19,Combined
60,41,36,1,19,Combined
63,42,7,1,27,Combined
64,43,7,1,29,Combined
68,45,38,1,30,Combined
71,46,39,1,31,Combined
74,47,7,1,32,Combined
82,50,38,1,19,Combined
83,51,38,1,33,Combined
90,55,39,1,13,Combined
115,63,52,1,27,Combined
123,65,34,1,39,Combined
130,66,54,1,40,Combined
133,69,39,1,41,Combined
134,70,7,1,12,Combined
135,71,7,1,42,Combined
137,73,7,1,33,Combined
138,74,7,1,24,Combined
146,75,7,1,24,Combined
149,76,7,1,12,Combined
151,77,7,1,12,Combined
158,78,7,1,12,Combined
164,80,7,1,7,Combined
165,81,7,1,44,Combined
184,82,7,1,45,Combined
199,85,7,1,12,Combined
219,87,62,1,32,Combined
221,89,64,1,45,Combined
225,92,67,1,46,Combined
309,103,78,1,19,Combined
340,107,82,1,54,Combined
355,112,13,1,19,Combined
365,117,64,1,29,Combined
371,119,92,1,55,Combined
377,125,39,1,22,Combined
378,126,98,1,19,Combined
380,128,98,1,63,Combined
382,129,100,1,22,Combined
383,130,13,1,37,Combined
391,134,38,1,64,Combined
397,137,106,1,20,Combined
398,138,106,1,11,Combined
406,142,64,1,19,Combined
409,143,98,1,19,Combined
413,144,106,1,27,Combined
414,145,13,1,61,Combined
419,148,64,1,19,Combined
431,153,116,1,61,Combined
437,156,52,1,61,Combined
442,158,106,1,19,Combined
450,159,13,1,29,Combined
459,162,100,1,33,Combined
463,164,123,1,69,Combined
467,166,125,1,69,Combined
471,167,13,1,27,Combined
474,168,126,1,61,Combined
475,169,125,1,28,Combined
476,170,125,1,70,Combined
478,171,52,1,41,Combined
484,173,125,1,72,Combined
489,177,34,1,19,Combined
496,180,38,1,61,Combined
504,185,137,1,61,Combined
505,186,137,1,76,Combined
506,187,138,1,28,Combined
508,188,137,1,19,Combined
520,196,116,1,36,Combined
524,199,148,1,47,Combined
526,200,52,1,81,Combined
527,201,149,1,19,Combined
531,205,52,1,31,Combined
550,216,7,1,87,Combined
554,218,7,1,15,Combined
555,219,38,1,75,Combined
556,220,38,1,88,Combined
558,221,28,1,89,Combined
561,222,38,1,61,Combined
565,223,38,1,27,Combined
567,224,18,1,61,Combined
568,225,39,1,29,Combined
570,226,28,1,61,Combined
572,227,38,1,88,Combined
573,228,39,1,26,Combined
574,229,39,1,61,Combined
576,231,165,1,27,Combined
608,233,165,1,27,Combined
621,235,39,1,27,Combined
623,237,169,1,9,Combined
632,239,169,1,27,Combined
635,240,169,1,24,Combined
639,241,169,1,7,Combined
644,242,169,1,69,Combined
653,243,54,1,19,Combined
670,247,18,1,13,Combined
690,250,116,1,41,Combined
694,253,178,1,19,Combined
696,254,126,1,41,Combined
767,272,123,1,28,Combined
771,274,197,1,41,Combined
773,275,197,1,98,Combined
788,280,202,1,59,Combined
807,285,13,1,71,Combined
808,286,13,1,26,Combined
815,291,178,1,14,Combined
816,292,178,1,45,Combined
824,298,216,1,26,Combined
827,300,169,1,7,Combined
828,301,17,1,12,Combined
833,305,221,1,103,Combined
834,306,222,1,24,Combined
837,309,225,1,28,Combined
838,310,225,1,59,Combined
839,311,78,1,47,Combined
842,314,228,1,15,Combined
847,315,229,1,36,Combined
849,317,231,1,61,Combined
856,324,238,1,61,Combined
857,325,238,1,19,Combined
872,331,244,1,19,Combined
877,333,238,1,24,Combined
898,334,22,1,106,Combined
899,335,225,1,107,Combined
953,341,34,1,53,Combined
986,345,7,1,91,Combined
1000,347,137,1,53,Combined
1001,348,137,1,41,Combined
1006,350,64,1,111,Combined
1011,355,67,1,49,Combined
1013,357,82,1,26,Combined
1016,359,82,1,27,Combined
1019,362,165,1,19,Combined
1022,363,116,1,101,Combined
1024,364,82,1,11,Combined
1038,372,202,1,49,Combined
1039,373,106,1,37,Combined
1044,374,225,1,4,Combined
1048,375,21,1,114,Combined
1051,376,52,1,40,Combined
1052,377,271,1,63,Combined
1055,379,4,1,115,Combined
1060,382,18,1,29,Combined
1064,384,149,1,37,Combined
1071,388,78,1,36,Combined
1074,389,106,1,96,Combined
1078,393,82,1,51,Combined
1080,395,283,1,15,Combined
1083,397,4,1,117,Combined
1087,398,228,1,118,Combined
1097,405,291,1,105,Combined
1108,411,38,1,32,Combined
1115,416,21,1,4,Combined
1117,417,21,1,47,Combined
1118,418,21,1,33,Combined
1120,419,13,1,96,Combined
1127,421,125,1,37,Combined
1130,423,13,1,27,Combined
1136,427,125,1,27,Combined
1140,429,125,1,76,Combined
1142,431,100,1,19,Combined
1157,440,78,1,19,Combined
1159,441,228,1,125,Combined
1162,443,125,1,24,Combined
1165,444,225,1,5,Combined
1169,445,64,1,31,Combined
1175,448,225,1,7,Combined
1178,450,78,1,27,Combined
1189,452,78,1,31,Combined
1231,464,13,1,32,Combined
1255,469,2,1,29,Combined
1258,470,52,1,41,Combined
1261,471,22,1,37,Combined
1262,472,225,1,123,Combined
1265,473,78,1,111,Combined
1274,476,228,1,123,Combined
1276,477,338,1,129,Combined
1289,481,225,1,12,Combined
1292,484,126,1,13,Combined
1309,491,169,1,32,Combined
1313,492,169,1,31,Combined
1328,497,169,1,69,Combined
1334,501,116,1,61,Combined
1335,502,116,1,76,Combined
1345,507,169,1,134,Combined
1373,512,365,1,61,Combined
1412,522,225,1,32,Combined
1413,523,169,1,102,Combined
1416,525,17,1,19,Combined
1420,527,377,1,11,Combined
1422,528,169,1,27,Combined
1434,534,383,1,102,Combined
1435,535,17,1,63,Combined
1436,536,384,1,46,Combined
1440,537,4,1,36,Combined
1441,538,21,1,123,Combined
1450,539,4,1,7,Combined
1451,540,225,1,7,Combined
1459,542,21,1,7,Combined
1460,543,228,1,7,Combined
1466,548,390,1,53,Combined
1481,554,291,1,32,Combined
1489,558,238,1,89,Combined
1497,560,169,1,27,Combined
1500,561,291,1,19,Combined
1505,563,291,1,37,Combined
1534,568,238,1,51,Combined
1545,572,231,1,141,Combined
1546,573,408,1,31,Combined
1577,580,165,1,142,Combined
1598,588,283,1,145,Combined
1605,589,228,1,9,Combined
1608,591,21,1,11,Combined
1619,592,423,1,31,Combined
1621,593,123,1,37,Combined
1623,595,17,1,11,Combined
1624,596,149,1,76,Combined
1631,600,34,1,27,Combined
1654,604,225,1,147,Combined
1655,605,116,1,27,Combined
1664,607,165,1,75,Combined
1719,609,116,1,148,Combined
1763,615,271,1,32,Combined
1764,616,291,1,7,Combined
1766,618,78,1,15,Combined
1775,622,291,1,7,Combined
1776,623,291,1,115,Combined
1785,624,221,1,7,Combined
1788,627,67,1,37,Combined
1795,632,291,1,132,Combined
1799,633,283,1,151,Combined
1818,639,291,1,111,Combined
1819,640,28,1,32,Combined
1836,643,82,1,61,Combined
1837,644,82,1,76,Combined
1848,646,38,1,76,Combined
1861,650,116,1,72,Combined
1862,651,116,1,37,Combined
1864,652,28,1,61,Combined
1866,654,460,1,153,Combined
1871,658,225,1,32,Combined
1913,674,229,1,9,Combined
1917,675,106,1,98,Combined
1919,677,178,1,47,Combined
