Location_id,Item_id,POI_Type,User_id,Latitude,Longitude,Time,Date,POI,Category,name,stars,L2_Category_name,clusters,L1_Category_name,L1_Category,counts,new_time
0,0,0,0,35.225884,-80.85289499999998,23:07:45,2013404,Independent,Football Stadium,Bank of America Stadium,4.0,0,0,0,Arts & Entertainment,2,23
1,1,0,0,35.241024,-80.81450500000003,23:59:28,2013404,Independent,Brewery,Birdsong Brewing,4.5,1,1,1,Nightlife Spot,2,23
2,2,1,0,35.23223,-80.848625,7:25:46,2013605,Combined,Greek Restaurant,Little Village Grill,4.5,2,0,2,Food,3,7
3,3,0,0,35.23317,-80.851456,12:02:49,2013605,Independent,College Quad,Johnson & Wales University,5.0,3,0,3,College & University,3,12
4,2,1,0,35.232198,-80.84889,15:39:58,2013605,Combined,Pub,The Pub at Gateway,3.5,4,0,1,Nightlife Spot,3,15
5,4,1,0,35.239275,-80.84515400000002,15:11:56,2013606,Combined,Cocktail Bar,Wet Willie's,3.0,5,0,1,Nightlife Spot,4,15
6,4,1,0,35.239036,-80.845063,15:12:09,2013606,Combined,Nightlife Spot,World Nightclub,2.0,6,0,1,Nightlife Spot,4,15
7,4,1,0,35.239187,-80.84605,21:00:03,2013606,Combined,Bar,Roc's Jazz Bar,3.5,7,0,1,Nightlife Spot,4,21
8,5,0,0,35.243332,-80.85696,21:13:18,2013606,Independent,College History Building,Johnson C Smith University,3.5,8,0,3,College & University,4,21
8,5,0,0,35.243332,-80.85696,2:52:04,2013607,Independent,College History Building,Johnson C Smith University,3.5,8,0,3,College & University,3,2
8,5,0,0,35.243332,-80.85696,5:34:15,2013607,Independent,College History Building,Johnson C Smith University,3.5,8,0,3,College & University,3,5
8,5,0,0,35.243332,-80.85696,5:34:50,2013607,Independent,College History Building,Johnson C Smith University,3.5,8,0,3,College & University,3,5
9,6,0,1,35.219081,-80.836484,10:12:47,20121101,Independent,Hotel,Fairfield Inn & Suites,4.0,9,0,4,Travel & Transport,2,10
10,7,1,1,35.218242,-80.945463,11:18:54,20121101,Combined,Fried Chicken Joint,Bojangles' Famous Chicken 'n Biscuits,3.5,10,2,2,Food,2,11
10,7,1,1,35.218242,-80.945463,11:33:16,20121204,Combined,Fried Chicken Joint,Bojangles' Famous Chicken 'n Biscuits,3.5,10,2,2,Food,2,11
11,8,0,1,35.176983,-80.878156,20:38:39,20121204,Independent,Drugstore / Pharmacy,CVS Pharmacy,3.0,11,3,5,Shop & Service,2,20
12,9,0,1,35.240292,-80.887055,22:58:58,2012712,Independent,Fried Chicken Joint,Bojangles' Famous Chicken 'n Biscuits,1.5,10,0,2,Food,2,22
12,9,0,1,35.240292,-80.887055,23:05:27,2012712,Independent,Fried Chicken Joint,Bojangles' Famous Chicken 'n Biscuits,1.5,10,0,2,Food,2,23
9,6,0,1,35.219081,-80.836484,10:05:23,2013221,Independent,Hotel,Fairfield Inn & Suites,4.0,9,0,4,Travel & Transport,2,10
10,7,1,1,35.218242,-80.945463,11:58:18,2013221,Combined,Fried Chicken Joint,Bojangles' Famous Chicken 'n Biscuits,3.5,10,2,2,Food,2,11
13,10,0,1,35.219081,-80.8367,0:18:44,2013228,Independent,Bar,Q Tavern,3.0,7,0,1,Nightlife Spot,2,0
9,6,0,1,35.219081,-80.836484,10:16:34,2013228,Independent,Hotel,Fairfield Inn & Suites,4.0,9,0,4,Travel & Transport,2,10
14,11,0,2,35.13633,-80.902591,3:09:34,2012522,Independent,Hotel,Courtyard by Marriott Charlotte Arrowood,3.5,9,4,4,Travel & Transport,3,3
15,12,0,2,35.136756,-80.904222,12:48:15,2012522,Independent,Coffee Shop,Starbucks,3.0,12,4,2,Food,3,12
16,13,1,2,35.14567,-80.929284,14:38:42,2012522,Combined,Paper / Office Supplies Store,The UPS Store,4.0,13,4,5,Shop & Service,3,14
17,14,0,2,35.137007000000004,-80.90198000000002,5:36:08,2013102,Independent,Hotel,TownePlace Suites Charlotte Arrowood,2.5,9,4,4,Travel & Transport,2,5
15,12,0,2,35.136756,-80.904222,12:55:17,2013102,Independent,Coffee Shop,Starbucks,3.0,12,4,2,Food,2,12
18,15,0,2,35.304152,-80.7516,0:09:27,2013318,Independent,Hotel,Residence Inn Charlotte University Research Park,2.5,9,5,4,Travel & Transport,2,0
19,16,0,2,35.313461,-80.743011,12:37:09,2013318,Independent,Coffee Shop,Starbucks,3.5,12,5,2,Food,2,12
20,17,1,2,35.340297,-80.764842,16:21:57,2013320,Combined,Food,Teriyaki Madness,3.5,14,5,2,Food,2,16
21,18,1,2,35.088073,-80.86281899999999,23:35:01,2013320,Combined,Sports Bar,Fox & Hound,2.5,15,6,1,Nightlife Spot,2,23
22,19,0,2,35.15738,-80.82996,23:15:48,2013812,Independent,Hotel,Charlotte Marriott SouthPark,3.5,9,3,4,Travel & Transport,3,23
23,20,0,2,35.152989,-80.836863,23:18:04,2013812,Independent,Hotel Bar,Renaissance Charlotte SouthPark Hotel,4.0,16,3,1,Nightlife Spot,3,23
