,Item_id,POI_Type,L2_Category_name,stars,clusters
0,0,0,198,1.0,1
55,1,1,93,1.0,1
60,1,1,168,1.0,1
64,1,1,137,1.0,1
65,1,1,34,1.0,1
67,1,1,49,1.0,1
68,1,1,53,1.0,1
74,1,1,188,1.0,1
75,1,1,198,1.0,1
78,1,1,13,1.0,1
83,1,1,104,1.0,1
92,1,1,118,1.0,1
94,1,1,231,1.0,1
95,1,1,252,1.0,1
96,1,1,100,1.0,1
102,1,1,144,1.0,1
106,1,1,206,1.0,1
121,1,1,40,1.0,1
123,1,1,42,1.0,1
147,1,1,5,1.0,1
161,1,1,55,1.0,1
162,1,1,89,1.0,1
182,1,1,191,1.0,1
188,1,1,8,1.0,1
230,1,1,80,1.0,1
294,1,1,108,1.0,1
308,1,1,241,1.0,1
562,2,0,11,1.0,0
686,3,0,42,1.0,6
691,4,1,93,1.0,6
692,4,1,40,1.0,6
693,4,1,55,1.0,6
696,4,1,130,1.0,6
707,4,1,138,1.0,6
709,4,1,144,1.0,6
710,4,1,42,1.0,6
722,4,1,210,1.0,6
725,4,1,211,1.0,6
737,4,1,154,1.0,6
783,4,1,54,1.0,6
807,4,1,33,1.0,6
868,4,1,77,1.0,6
971,5,1,168,1.0,6
975,5,1,42,1.0,6
988,5,1,138,1.0,6
993,5,1,78,1.0,6
1082,5,1,33,1.0,6
1255,6,1,4,1.0,7
1257,6,1,42,1.0,7
1258,6,1,93,1.0,7
1264,6,1,55,1.0,7
1270,6,1,49,1.0,7
1273,6,1,13,1.0,7
1276,6,1,138,1.0,7
1278,6,1,104,1.0,7
1283,6,1,2,1.0,7
1285,6,1,196,1.0,7
1298,6,1,3,1.0,7
1305,6,1,137,1.0,7
1334,6,1,5,1.0,7
1396,6,1,109,1.0,7
1841,7,0,26,1.0,5
1864,8,0,26,1.0,5
1945,9,0,86,1.0,0
1956,10,0,100,1.0,0
1983,11,0,201,1.0,0
2025,12,1,195,1.0,0
2026,12,1,68,1.0,0
2027,12,1,241,1.0,0
2029,12,1,171,1.0,0
2033,12,1,183,1.0,0
2044,12,1,146,1.0,0
2070,12,1,210,1.0,0
2112,12,1,42,1.0,0
2119,12,1,224,1.0,0
2190,13,0,172,1.0,0
2210,14,1,208,1.0,0
2212,14,1,27,1.0,0
2213,14,1,47,1.0,0
2219,14,1,50,1.0,0
2223,14,1,237,1.0,0
2227,14,1,42,1.0,0
2230,14,1,72,1.0,0
2236,14,1,71,1.0,0
2264,14,1,13,1.0,0
2358,15,0,181,1.0,0
2372,16,0,109,1.0,0
2475,17,0,109,1.0,0
2588,18,0,230,1.0,5
2609,19,0,136,1.0,5
2659,20,0,244,1.0,5
2669,21,0,175,1.0,6
2839,22,0,200,1.0,0
2858,23,0,237,1.0,0
2883,24,0,231,1.0,0
2889,25,0,107,1.0,1
3106,26,0,207,1.0,1
3192,27,1,196,1.0,6
3193,27,1,33,1.0,6
3196,27,1,168,1.0,6
3201,27,1,53,1.0,6
3203,27,1,5,1.0,6
3236,27,1,138,1.0,6
3244,27,1,227,1.0,6
3251,27,1,175,1.0,6
3397,27,1,82,1.0,6
3603,28,0,243,1.0,5
3839,29,1,241,1.0,6
3840,29,1,134,1.0,6
3841,29,1,13,1.0,6
3842,29,1,49,1.0,6
3843,29,1,42,1.0,6
3850,29,1,200,1.0,6
3851,29,1,196,1.0,6
3898,30,1,98,1.0,0
3909,30,1,93,1.0,0
3916,30,1,104,1.0,0
3918,30,1,151,1.0,0
3921,30,1,100,1.0,0
3933,30,1,215,1.0,0
3934,30,1,130,1.0,0
3939,30,1,13,1.0,0
4086,30,1,40,1.0,0
4407,30,1,205,1.0,0
4716,31,1,80,1.0,0
4717,31,1,172,1.0,0
4722,31,1,49,1.0,0
4723,31,1,81,1.0,0
4729,31,1,100,1.0,0
4733,31,1,89,1.0,0
4738,31,1,28,1.0,0
4799,31,1,93,1.0,0
4889,32,1,78,1.0,6
4891,32,1,20,1.0,6
4894,32,1,32,1.0,6
4905,32,1,100,1.0,6
4907,32,1,196,1.0,6
4915,32,1,42,1.0,6
4918,32,1,144,1.0,6
4931,32,1,46,1.0,6
4935,32,1,12,1.0,6
4941,32,1,89,1.0,6
4943,32,1,104,1.0,6
4946,32,1,231,1.0,6
4947,32,1,118,1.0,6
4957,32,1,205,1.0,6
4972,32,1,49,1.0,6
5062,32,1,138,1.0,6
5141,32,1,140,1.0,6
5149,32,1,33,1.0,6
5328,32,1,241,1.0,6
5639,33,1,49,1.0,6
5640,33,1,163,1.0,6
5641,33,1,119,1.0,6
5644,33,1,33,1.0,6
5645,33,1,120,1.0,6
5646,33,1,241,1.0,6
