,Unnamed: 0.1,Unnamed: 0,User_id,Location_id,POI_id,POI_Type,final_time,TimeStamp,Latitude,Longitude,Category,Combined_Category,stars,hour,day,Category_id,clusters
0,0,3,0,0,0,Independent,2012-04-21 18:42:06+00:00,Sun Apr 22 01:42:06 +0000 2012,51.082188,-114.00032,Hotel,Travel Spot,4.0,18,2012/4/21,0,0
1,1,4,0,1,1,Independent,2012-04-21 18:43:00+00:00,Sun Apr 22 01:43:00 +0000 2012,51.08204,-114.00002,Steakhouse,Food,4.0,18,2012/4/21,1,0
2,2,5,0,2,2,Independent,2012-04-21 18:43:21+00:00,Sun Apr 22 01:43:21 +0000 2012,51.082187,-114.000384,Pub,Nightlife Spot,5.0,18,2012/4/21,2,0
3,3,6,0,1,1,Independent,2012-04-22 09:21:38+00:00,Sun Apr 22 16:21:38 +0000 2012,51.08204,-114.00002,Steakhouse,Food,4.0,9,2012/4/22,1,0
4,4,7,0,3,3,Independent,2012-04-22 09:22:44+00:00,Sun Apr 22 16:22:44 +0000 2012,51.080482,-114.002946,Diner,Food,3.0,9,2012/4/22,3,0
5,5,8,0,4,4,Independent,2012-04-22 11:28:50+00:00,Sun Apr 22 18:28:50 +0000 2012,51.04996,-114.06965,Hotel,Travel Spot,3.5,11,2012/4/22,0,0
6,6,9,0,5,5,Independent,2012-04-22 11:31:00+00:00,Sun Apr 22 18:31:00 +0000 2012,51.047791,-114.072502,Bar,Nightlife Spot,3.5,11,2012/4/22,4,0
7,7,10,0,6,6,Independent,2012-04-22 11:59:03+00:00,Sun Apr 22 18:59:03 +0000 2012,51.048468,-114.071598,Coffee Shop,Drink,2.5,11,2012/4/22,5,0
8,8,11,0,7,7,Independent,2012-04-22 12:10:20+00:00,Sun Apr 22 19:10:20 +0000 2012,51.03802,-114.075437,Board Shop,Shop,4.0,12,2012/4/22,6,0
9,9,12,0,8,8,Independent,2012-04-22 12:55:01+00:00,Sun Apr 22 19:55:01 +0000 2012,51.037408,-114.060752,Casino,Art&Entertainment,3.5,12,2012/4/22,7,0
10,10,13,0,9,9,Independent,2012-04-22 12:56:41+00:00,Sun Apr 22 19:56:41 +0000 2012,51.037878,-114.073691,Bar,Nightlife Spot,4.0,12,2012/4/22,4,0
11,11,14,0,10,10,Independent,2012-04-22 13:16:11+00:00,Sun Apr 22 20:16:11 +0000 2012,51.069172,-114.062233,Ice Cream Shop,Shop,2.0,13,2012/4/22,8,0
12,12,15,0,0,0,Independent,2012-04-23 07:24:18+00:00,Mon Apr 23 14:24:18 +0000 2012,51.082188,-114.00032,Hotel,Travel Spot,4.0,7,2012/4/23,0,0
13,13,16,0,11,11,Independent,2012-04-23 12:39:20+00:00,Mon Apr 23 19:39:20 +0000 2012,51.049588,-114.069287,Cocktail Bar,Nightlife Spot,2.5,12,2012/4/23,9,0
14,14,17,0,5,5,Independent,2012-04-23 12:43:49+00:00,Mon Apr 23 19:43:49 +0000 2012,51.047791,-114.072502,Bar,Nightlife Spot,3.5,12,2012/4/23,4,0
15,15,18,0,5,5,Independent,2012-04-23 18:39:17+00:00,Tue Apr 24 01:39:17 +0000 2012,51.047791,-114.072502,Bar,Nightlife Spot,3.5,18,2012/4/23,4,0
16,16,19,0,571,12,Combined,2012-04-23 18:47:56+00:00,Tue Apr 24 01:47:56 +0000 2012,51.051997,-114.069843,American Restaurant,Food,4.5,18,2012/4/23,10,0
