,Unnamed: 0.1,Unnamed: 0,User_id,Location_id,POI_id,POI_Type,final_time,TimeStamp,Latitude,Longitude,Category,Combined_Category,stars,hour,day,Category_id,clusters
0,0,4,0,0,0,Independent,2013-04-04 18:07:45+00:00,Thu Apr 04 23:07:45 +0000 2013,35.225884,-80.85289499999998,Football Stadium,Outdoor,4.0,18,2013-04-04,0,0
1,1,5,0,1,1,Independent,2013-04-04 18:59:28+00:00,Thu Apr 04 23:59:28 +0000 2013,35.241024,-80.81450500000003,Brewery,Shop,4.5,18,2013-04-04,1,0
2,2,6,0,1173,2,Combined,2013-06-05 02:25:46+00:00,Wed Jun 05 07:25:46 +0000 2013,35.23223,-80.848625,Greek Restaurant,Food,4.5,2,2013-06-05,2,0
3,3,7,0,3,3,Independent,2013-06-05 07:02:49+00:00,Wed Jun 05 12:02:49 +0000 2013,35.23317,-80.851456,College Quad,School&Office,5.0,7,2013-06-05,3,0
4,4,8,0,1173,2,Combined,2013-06-05 10:39:58+00:00,Wed Jun 05 15:39:58 +0000 2013,35.232198,-80.84889,Pub,Nightlife Spot,3.5,10,2013-06-05,4,0
5,5,9,0,1174,4,Combined,2013-06-06 10:11:56+00:00,Thu Jun 06 15:11:56 +0000 2013,35.239275,-80.84515400000002,Cocktail Bar,Art&Entertainment,3.0,10,2013-06-06,5,0
6,6,10,0,1174,4,Combined,2013-06-06 10:12:09+00:00,Thu Jun 06 15:12:09 +0000 2013,35.239036,-80.845063,Nightlife Spot,Nightlife Spot,2.0,10,2013-06-06,6,0
7,7,11,0,1174,4,Combined,2013-06-06 16:00:03+00:00,Thu Jun 06 21:00:03 +0000 2013,35.239187,-80.84605,Bar,Nightlife Spot,3.5,16,2013-06-06,7,0
8,8,12,0,5,5,Independent,2013-06-06 16:13:18+00:00,Thu Jun 06 21:13:18 +0000 2013,35.243332,-80.85696,College History Building,School&Office,3.5,16,2013-06-06,8,0
9,9,13,0,5,5,Independent,2013-06-06 21:52:04+00:00,Fri Jun 07 02:52:04 +0000 2013,35.243332,-80.85696,College History Building,School&Office,3.5,21,2013-06-06,8,0
10,10,14,0,5,5,Independent,2013-06-07 00:34:15+00:00,Fri Jun 07 05:34:15 +0000 2013,35.243332,-80.85696,College History Building,School&Office,3.5,0,2013-06-07,8,0
11,11,15,0,5,5,Independent,2013-06-07 00:34:50+00:00,Fri Jun 07 05:34:50 +0000 2013,35.243332,-80.85696,College History Building,School&Office,3.5,0,2013-06-07,8,0
12,12,21,1,6,6,Independent,2012-07-12 17:58:58+00:00,Thu Jul 12 22:58:58 +0000 2012,35.240292,-80.887055,Fried Chicken Joint,Food,1.5,17,2012-07-12,9,0
13,13,22,1,6,6,Independent,2012-07-12 18:05:27+00:00,Thu Jul 12 23:05:27 +0000 2012,35.240292,-80.887055,Fried Chicken Joint,Food,1.5,18,2012-07-12,9,0
14,14,24,1,7,7,Independent,2012-11-01 05:12:47+00:00,Thu Nov 01 10:12:47 +0000 2012,35.219081,-80.836484,Hotel,Travel Spot,4.0,5,2012-11-01,10,0
15,15,25,1,1175,8,Combined,2012-11-01 06:18:54+00:00,Thu Nov 01 11:18:54 +0000 2012,35.218242,-80.945463,Fried Chicken Joint,Food,3.5,6,2012-11-01,9,0
16,16,27,1,1175,8,Combined,2012-12-04 06:33:16+00:00,Tue Dec 04 11:33:16 +0000 2012,35.218242,-80.945463,Fried Chicken Joint,Food,3.5,6,2012-12-04,9,0
17,17,28,1,9,9,Independent,2012-12-04 15:38:39+00:00,Tue Dec 04 20:38:39 +0000 2012,35.176983,-80.878156,Drugstore / Pharmacy,Shop,3.0,15,2012-12-04,11,0
18,18,33,1,7,7,Independent,2013-02-21 05:05:23+00:00,Thu Feb 21 10:05:23 +0000 2013,35.219081,-80.836484,Hotel,Travel Spot,4.0,5,2013-02-21,10,0
19,19,34,1,1175,8,Combined,2013-02-21 06:58:18+00:00,Thu Feb 21 11:58:18 +0000 2013,35.218242,-80.945463,Fried Chicken Joint,Food,3.5,6,2013-02-21,9,0
20,20,35,1,7,7,Independent,2013-02-27 14:19:42+00:00,Wed Feb 27 19:19:42 +0000 2013,35.219081,-80.836484,Hotel,Travel Spot,4.0,14,2013-02-27,10,0
21,21,36,1,10,10,Independent,2013-02-27 19:18:44+00:00,Thu Feb 28 00:18:44 +0000 2013,35.219081,-80.8367,Bar,Nightlife Spot,3.0,19,2013-02-27,7,0
22,22,42,2,11,11,Independent,2012-05-22 07:48:15+00:00,Tue May 22 12:48:15 +0000 2012,35.136756,-80.904222,Coffee Shop,Drink,3.0,7,2012-05-22,12,0
23,23,43,2,1176,12,Combined,2012-05-22 09:38:42+00:00,Tue May 22 14:38:42 +0000 2012,35.14567,-80.929284,Paper / Office Supplies Store,Shop,4.0,9,2012-05-22,13,0
24,24,44,2,13,13,Independent,2012-05-23 18:23:21+00:00,Wed May 23 23:23:21 +0000 2012,35.116442,-80.95790699999998,Bar,Nightlife Spot,3.0,18,2012-05-23,7,0
25,25,45,2,14,14,Independent,2012-05-23 22:11:46+00:00,Thu May 24 03:11:46 +0000 2012,35.13633,-80.902591,Hotel,Travel Spot,3.5,22,2012-05-23,10,0
26,26,47,2,15,15,Independent,2013-01-02 00:36:08+00:00,Wed Jan 02 05:36:08 +0000 2013,35.137007000000004,-80.90198000000002,Hotel,Travel Spot,2.5,0,2013-01-02,10,0
27,27,48,2,11,11,Independent,2013-01-02 07:55:17+00:00,Wed Jan 02 12:55:17 +0000 2013,35.136756,-80.904222,Coffee Shop,Drink,3.0,7,2013-01-02,12,0
