,Unnamed: 0.1,Unnamed: 0,User_id,Location_id,POI_id,POI_Type,final_time,TimeStamp,Latitude,Longitude,Category,Combined_Category,stars,hour,day,Category_id,clusters
0,0,5,0,1333,0,Combined,2012-04-03 14:51:04+00:00,Tue Apr 03 21:51:04 +0000 2012,33.520454,-112.099745,Train Station,Travel Spot,3.5,14,2012-04-03,0,0
1,1,6,0,1333,0,Combined,2012-04-03 14:54:40+00:00,Tue Apr 03 21:54:40 +0000 2012,33.522793,-112.09548,Mall,Shop,2.5,14,2012-04-03,1,0
2,2,7,0,1333,0,Combined,2012-04-03 14:59:33+00:00,Tue Apr 03 21:59:33 +0000 2012,33.522757,-112.09891299999998,Bank,School&Office,1.5,14,2012-04-03,2,0
3,3,8,0,1333,0,Combined,2012-04-03 15:40:24+00:00,Tue Apr 03 22:40:24 +0000 2012,33.522777000000005,-112.09398799999998,Cosmetics Shop,Shop,3.0,15,2012-04-03,3,0
4,4,9,0,1333,0,Combined,2012-04-03 15:54:19+00:00,Tue Apr 03 22:54:19 +0000 2012,33.520897,-112.098139,Department Store,Shop,4.5,15,2012-04-03,4,0
5,5,12,0,1,1,Independent,2012-04-09 11:10:22+00:00,Mon Apr 09 18:10:22 +0000 2012,33.43736,-111.999649,Gift Shop,Shop,3.5,11,2012-04-09,5,0
6,6,13,0,2,2,Independent,2012-04-09 11:17:32+00:00,Mon Apr 09 18:17:32 +0000 2012,33.435758,-111.997897,Mexican Restaurant,Food,2.5,11,2012-04-09,6,0
7,7,14,0,3,3,Independent,2012-04-11 16:26:55+00:00,Wed Apr 11 23:26:55 +0000 2012,33.465893,-112.060629,Drugstore / Pharmacy,Shop,2.5,16,2012-04-11,7,0
8,8,15,0,4,4,Independent,2012-04-11 19:47:32+00:00,Thu Apr 12 02:47:32 +0000 2012,33.465472,-112.082981,Asian Restaurant,Food,2.5,19,2012-04-11,8,0
9,9,17,0,5,5,Independent,2012-04-14 18:12:07+00:00,Sun Apr 15 01:12:07 +0000 2012,33.495619,-112.073802,Light Rail,Travel Spot,1.0,18,2012-04-14,9,0
10,10,18,0,6,6,Independent,2012-04-14 21:40:59+00:00,Sun Apr 15 04:40:59 +0000 2012,33.506915,-112.074183,American Restaurant,Food,3.0,21,2012-04-14,10,0
11,11,19,0,7,7,Independent,2012-04-19 14:54:25+00:00,Thu Apr 19 21:54:25 +0000 2012,33.450507,-112.072668,Spa / Massage,Shop,4.0,14,2012-04-19,11,0
