,Item_id,POI_Type,L2_Category_name,stars,clusters
0,0,0,198,1.0,0
1,1,1,206,1.0,0
2,2,0,11,1.0,0
4,3,0,42,1.0,0
5,4,1,154,1.0,0
6,5,1,168,1.0,0
7,6,1,4,1.0,0
8,7,0,26,1.0,0
9,8,0,26,1.0,0
10,9,0,86,1.0,0
11,10,0,100,1.0,0
12,11,0,201,1.0,0
13,12,1,210,1.0,0
14,13,0,172,1.0,0
15,14,1,47,1.0,0
16,15,0,181,1.0,0
18,16,0,109,1.0,0
19,17,0,109,1.0,0
20,18,0,230,1.0,0
22,19,0,136,1.0,0
23,20,0,244,1.0,0
24,21,0,175,1.0,0
25,22,0,200,1.0,0
26,23,0,237,1.0,0
27,24,0,231,1.0,0
28,25,0,107,1.0,0
29,26,0,207,1.0,0
30,4,1,93,1.0,0
31,27,1,33,1.0,0
32,28,0,243,1.0,0
33,29,1,134,1.0,0
34,12,1,68,1.0,0
35,30,1,98,1.0,0
36,31,1,100,1.0,0
37,32,1,144,1.0,0
38,33,1,163,1.0,0
39,34,0,39,1.0,0
40,35,0,243,1.0,0
42,36,0,183,1.0,0
43,37,0,71,1.0,0
44,38,0,252,1.0,0
45,39,0,238,1.0,0
47,40,1,138,1.0,0
49,40,1,114,1.0,0
50,41,0,28,1.0,0
51,42,0,22,1.0,0
52,43,0,208,1.0,0
57,44,1,87,1.0,0
58,45,0,80,1.0,0
59,46,0,123,1.0,0
61,47,0,168,1.0,0
63,48,0,53,1.0,0
65,49,0,49,1.0,0
66,50,0,172,1.0,0
67,51,1,100,1.0,0
68,52,0,198,1.0,0
69,53,0,198,1.0,0
70,54,1,47,1.0,0
72,54,1,5,1.0,0
73,55,0,138,1.0,0
74,56,1,55,1.0,0
77,57,1,55,1.0,0
78,58,0,144,1.0,0
79,59,0,93,1.0,0
80,60,1,55,1.0,0
81,61,0,55,1.0,0
82,62,0,100,1.0,0
84,63,0,42,1.0,0
85,64,0,181,1.0,0
88,65,0,100,1.0,0
89,66,0,131,1.0,0
90,67,1,189,1.0,0
91,68,0,179,1.0,0
92,69,1,100,1.0,0
93,70,1,100,1.0,0
94,60,1,138,1.0,0
95,70,1,232,1.0,0
96,71,0,237,1.0,0
97,72,1,134,1.0,0
99,69,1,211,1.0,0
102,27,1,196,1.0,0
106,73,0,100,1.0,0
107,74,0,162,1.0,0
109,14,1,71,1.0,0
110,40,1,98,1.0,0
111,75,0,100,1.0,0
112,51,1,78,1.0,0
113,76,1,107,1.0,0
114,77,1,55,1.0,0
115,78,0,78,1.0,0
117,5,1,138,1.0,0
118,32,1,78,1.0,0
119,32,1,100,1.0,0
120,79,0,78,1.0,0
124,80,0,87,1.0,0
125,81,0,39,1.0,0
126,82,0,183,1.0,0
128,83,0,100,1.0,0
133,84,0,78,1.0,0
134,85,1,93,1.0,0
138,86,0,93,1.0,0
142,87,1,42,1.0,0
145,88,1,93,1.0,0
146,88,1,4,1.0,0
147,89,1,100,1.0,0
148,90,0,21,1.0,0
149,91,0,114,1.0,0
150,51,1,53,1.0,0
152,30,1,93,1.0,0
153,1,1,252,1.0,0
154,1,1,40,1.0,0
155,92,0,53,1.0,0
156,60,1,49,1.0,0
158,32,1,241,1.0,0
159,33,1,49,1.0,0
160,93,0,0,1.0,0
161,94,0,150,1.0,0
162,95,1,42,1.0,0
164,96,0,3,1.0,0
165,97,0,50,1.0,0
166,98,0,237,1.0,0
169,70,1,53,1.0,0
170,99,0,51,1.0,0
172,100,0,100,1.0,0
173,51,1,223,1.0,0
174,101,0,189,1.0,0
178,60,1,100,1.0,0
184,102,0,100,1.0,0
185,60,1,196,1.0,0
187,60,1,33,1.0,0
190,103,0,181,1.0,0
193,104,0,147,1.0,0
195,31,1,172,1.0,0
196,105,0,239,1.0,0
198,106,0,55,1.0,0
201,95,1,242,1.0,0
203,95,1,100,1.0,0
204,107,0,5,1.0,0
205,95,1,133,1.0,0
206,95,1,118,1.0,0
207,108,0,243,1.0,0
208,109,0,147,1.0,0
212,110,1,129,1.0,0
220,111,0,200,1.0,0
221,70,1,22,1.0,0
222,112,0,163,1.0,0
223,67,1,202,1.0,0
224,60,1,237,1.0,0
225,113,0,203,1.0,0
227,114,1,193,1.0,0
228,114,1,100,1.0,0
230,114,1,93,1.0,0
232,33,1,246,1.0,0
233,115,1,146,1.0,0
234,116,1,231,1.0,0
235,117,0,227,1.0,0
236,87,1,175,1.0,0
237,118,0,88,1.0,0
238,60,1,53,1.0,0
239,119,0,50,1.0,0
240,51,1,118,1.0,0
243,120,0,4,1.0,0
244,121,0,87,1.0,0
245,122,1,184,1.0,0
246,123,0,55,1.0,0
247,124,0,80,1.0,0
251,125,1,159,1.0,0
252,89,1,55,1.0,0
254,70,1,197,1.0,0
256,32,1,46,1.0,0
257,72,1,72,1.0,0
259,126,0,93,1.0,0
260,127,1,93,1.0,0
261,127,1,80,1.0,0
264,128,0,56,1.0,0
266,129,0,144,1.0,0
268,130,0,181,1.0,0
269,131,1,227,1.0,0
274,67,1,22,1.0,0
278,116,1,100,1.0,0
279,116,1,55,1.0,0
281,132,1,53,1.0,0
282,133,0,55,1.0,0
283,134,1,172,1.0,0
284,134,1,200,1.0,0
285,135,1,118,1.0,0
286,136,0,237,1.0,0
288,6,1,104,1.0,0
291,137,0,179,1.0,0
292,138,0,80,1.0,0
294,67,1,175,1.0,0
296,139,0,175,1.0,0
298,140,0,195,1.0,0
300,69,1,78,1.0,0
303,70,1,215,1.0,0
307,141,0,198,1.0,0
311,142,0,104,1.0,0
312,143,0,179,1.0,0
313,144,0,175,1.0,0
314,145,0,100,1.0,0
315,146,0,100,1.0,0
317,147,0,81,1.0,0
318,148,1,100,1.0,0
319,149,0,49,1.0,0
321,150,0,93,1.0,0
323,151,0,100,1.0,0
324,152,1,100,1.0,0
325,135,1,93,1.0,0
326,153,0,49,1.0,0
327,154,0,217,1.0,0
328,155,1,227,1.0,0
329,156,0,42,1.0,0
331,157,0,187,1.0,0
332,76,1,207,1.0,0
334,70,1,55,1.0,0
335,158,0,42,1.0,0
336,159,1,42,1.0,0
337,70,1,81,1.0,0
338,160,0,36,1.0,0
342,161,0,198,1.0,0
343,162,0,162,1.0,0
344,163,0,163,1.0,0
345,164,0,50,1.0,0
347,116,1,173,1.0,0
348,165,1,219,1.0,0
350,6,1,13,1.0,0
