,Item_id,POI_Type,L2_Category_name,stars,clusters
0,0,0,172,4.0,0
1,1,0,300,4.0,0
2,2,0,257,5.0,0
4,3,0,106,3.0,0
5,4,0,172,3.5,0
6,5,0,24,3.5,0
7,6,0,68,2.5,0
8,7,0,33,4.0,0
9,8,0,60,3.5,0
10,9,0,24,4.0,0
11,10,0,176,2.0,0
13,11,0,67,2.5,0
16,12,1,5,4.5,0
17,13,0,146,4.0,0
19,14,0,50,3.5,0
20,15,0,172,3.5,0
21,16,0,184,4.5,0
24,17,0,172,5.0,0
25,18,1,68,4.0,0
26,19,0,5,4.0,0
28,12,1,257,3.5,0
29,20,0,300,3.5,0
30,21,0,68,3.5,0
31,22,0,24,3.0,0
32,23,1,5,3.5,0
34,24,0,247,2.5,0
35,25,0,50,2.0,0
36,26,0,24,3.5,0
37,27,0,172,2.0,0
38,28,0,68,4.0,0
39,29,0,124,2.5,0
40,30,0,195,3.5,0
41,18,1,111,2.5,0
42,31,1,124,2.0,0
43,32,0,240,3.0,0
44,33,0,301,2.5,0
45,34,1,296,2.5,0
46,35,0,301,2.5,0
47,36,0,161,3.0,0
49,37,0,156,4.0,0
56,38,0,114,1.5,0
57,18,1,114,1.5,0
60,18,1,124,3.0,0
63,39,0,64,3.0,0
65,40,0,215,3.5,0
71,41,0,60,2.5,0
73,42,0,169,4.0,0
77,43,0,68,4.0,0
86,44,0,19,3.5,0
87,45,0,111,3.5,0
88,46,0,176,1.5,0
96,34,1,102,1.0,0
98,31,1,211,2.5,0
102,47,0,46,2.0,0
104,31,1,296,3.0,0
106,34,1,102,3.5,0
119,48,1,284,5.0,0
120,48,1,102,2.0,0
127,49,1,296,2.5,0
128,50,1,222,3.5,0
132,51,0,114,3.5,0
134,52,0,88,4.0,0
135,53,0,124,2.0,0
136,54,1,102,2.5,0
138,55,0,257,2.0,0
139,56,0,222,3.0,0
140,57,0,299,3.5,0
141,49,1,224,3.0,0
143,58,1,247,3.0,0
144,59,0,172,4.0,0
146,60,0,68,2.0,0
147,61,0,102,3.0,0
150,49,1,66,4.0,0
151,49,1,35,3.5,0
153,62,0,124,3.0,0
154,63,1,156,3.5,0
155,64,1,124,2.0,0
156,65,1,35,4.5,0
157,66,0,184,3.5,0
158,67,0,247,2.0,0
159,68,0,195,2.5,0
162,69,0,135,3.0,0
163,70,0,247,3.0,0
164,71,0,297,3.5,0
165,72,0,60,3.0,0
166,73,0,336,3.5,0
167,74,0,102,2.5,0
168,75,0,142,4.5,0
169,76,1,321,2.5,0
170,12,1,222,3.0,0
171,31,1,297,2.5,0
174,77,0,266,3.5,0
178,78,0,204,3.5,0
179,79,0,102,3.0,0
180,31,1,211,3.0,0
182,54,1,296,4.0,0
183,54,1,66,3.0,0
185,80,0,220,3.5,0
188,81,0,257,3.0,0
191,82,0,60,3.0,0
192,83,0,68,4.5,0
197,84,0,325,3.5,0
203,85,0,114,2.5,0
207,86,0,102,2.0,0
213,87,0,244,3.0,0
214,88,1,156,3.5,0
215,88,1,244,4.0,0
216,89,1,68,3.0,0
217,90,1,102,2.5,0
218,89,1,187,4.0,0
219,91,0,108,2.0,0
220,92,0,257,3.5,0
221,93,0,172,3.0,0
224,94,0,68,3.5,0
225,95,0,68,3.0,0
226,96,0,109,4.5,0
230,97,0,169,4.0,0
235,49,1,5,3.0,0
239,98,1,257,3.0,0
241,48,1,201,4.0,0
251,89,1,244,3.0,0
253,58,1,141,3.0,0
259,99,0,244,4.5,0
266,100,0,128,4.5,0
273,101,0,271,4.0,0
275,102,0,298,3.5,0
277,89,1,220,3.0,0
280,88,1,145,3.0,0
281,103,0,68,3.0,0
282,98,1,111,3.5,0
283,58,1,266,3.0,0
287,104,1,68,3.0,0
288,105,0,130,3.5,0
290,106,0,35,4.0,0
303,107,0,114,2.5,0
306,108,0,130,4.5,0
313,109,0,244,3.5,0
314,110,0,68,3.0,0
315,111,0,156,3.0,0
318,112,1,201,2.5,0
319,113,0,111,4.0,0
320,58,1,102,2.5,0
321,114,0,156,3.5,0
332,50,1,114,2.0,0
334,115,1,102,3.0,0
346,116,0,124,3.0,0
352,117,0,114,2.0,0
355,118,0,5,3.0,0
362,34,1,183,2.0,0
366,58,1,5,2.5,0
381,119,0,13,3.0,0
386,88,1,124,3.0,0
397,104,1,266,2.0,0
399,120,0,19,2.5,0
401,121,0,124,1.5,0
413,122,0,124,2.0,0
419,58,1,124,2.0,0
441,123,1,68,2.5,0
443,124,1,271,3.5,0
448,124,1,114,1.5,0
449,125,0,19,2.0,0
450,123,1,44,2.0,0
454,126,0,156,3.0,0
457,123,1,156,2.5,0
458,123,1,151,4.0,0
459,127,0,262,1.5,0
460,128,0,326,4.0,0
461,129,0,257,3.0,0
464,130,0,157,2.0,0
465,49,1,5,3.5,0
467,131,0,92,2.5,0
470,132,0,262,2.0,0
472,133,0,326,4.0,0
478,89,1,19,3.5,0
479,134,0,24,4.5,0
481,135,0,68,4.0,0
482,136,0,266,4.0,0
486,58,1,156,3.5,0
487,137,0,24,3.5,0
496,138,0,266,3.5,0
503,139,0,241,4.5,0
508,140,0,257,2.5,0
523,141,0,304,3.5,0
526,142,0,68,3.5,0
539,143,0,194,5.0,0
540,144,0,330,3.5,0
543,145,0,102,2.0,0
547,146,0,272,4.5,0
548,147,0,68,2.0,0
