,Location_id,Item_id,POI_Type,L2_Category_name,POI
55,2109,1,1,93,Combined
60,2109,1,1,168,Combined
64,2109,1,1,137,Combined
65,2109,1,1,34,Combined
67,2109,1,1,49,Combined
68,2109,1,1,53,Combined
74,2109,1,1,188,Combined
75,2109,1,1,198,Combined
78,2109,1,1,13,Combined
83,2109,1,1,104,Combined
92,2109,1,1,118,Combined
94,2109,1,1,231,Combined
95,2109,1,1,252,Combined
96,2109,1,1,100,Combined
102,2109,1,1,144,Combined
106,2109,1,1,206,Combined
121,2109,1,1,40,Combined
123,2109,1,1,42,Combined
147,2109,1,1,5,Combined
161,2109,1,1,55,Combined
162,2109,1,1,89,Combined
182,2109,1,1,191,Combined
188,2109,1,1,8,Combined
230,2109,1,1,80,Combined
294,2109,1,1,108,Combined
308,2109,1,1,241,Combined
691,2110,4,1,93,Combined
692,2110,4,1,40,Combined
693,2110,4,1,55,Combined
696,2110,4,1,130,Combined
707,2110,4,1,138,Combined
709,2110,4,1,144,Combined
710,2110,4,1,42,Combined
722,2110,4,1,210,Combined
725,2110,4,1,211,Combined
737,2110,4,1,154,Combined
783,2110,4,1,54,Combined
807,2110,4,1,33,Combined
868,2110,4,1,77,Combined
971,2111,5,1,168,Combined
975,2111,5,1,42,Combined
988,2111,5,1,138,Combined
993,2111,5,1,78,Combined
1082,2111,5,1,33,Combined
1255,2112,6,1,4,Combined
1257,2112,6,1,42,Combined
1258,2112,6,1,93,Combined
1264,2112,6,1,55,Combined
1270,2112,6,1,49,Combined
1273,2112,6,1,13,Combined
1276,2112,6,1,138,Combined
1278,2112,6,1,104,Combined
1283,2112,6,1,2,Combined
1285,2112,6,1,196,Combined
1298,2112,6,1,3,Combined
1305,2112,6,1,137,Combined
1334,2112,6,1,5,Combined
1396,2112,6,1,109,Combined
2025,2113,12,1,195,Combined
2026,2113,12,1,68,Combined
2027,2113,12,1,241,Combined
2029,2113,12,1,171,Combined
2033,2113,12,1,183,Combined
2044,2113,12,1,146,Combined
2070,2113,12,1,210,Combined
2112,2113,12,1,42,Combined
2119,2113,12,1,224,Combined
2210,2114,14,1,208,Combined
2212,2114,14,1,27,Combined
2213,2114,14,1,47,Combined
2219,2114,14,1,50,Combined
2223,2114,14,1,237,Combined
2227,2114,14,1,42,Combined
2230,2114,14,1,72,Combined
2236,2114,14,1,71,Combined
2264,2114,14,1,13,Combined
3192,2115,27,1,196,Combined
3193,2115,27,1,33,Combined
3196,2115,27,1,168,Combined
3201,2115,27,1,53,Combined
3203,2115,27,1,5,Combined
3236,2115,27,1,138,Combined
3244,2115,27,1,227,Combined
3251,2115,27,1,175,Combined
3397,2115,27,1,82,Combined
3839,2116,29,1,241,Combined
3840,2116,29,1,134,Combined
3841,2116,29,1,13,Combined
3842,2116,29,1,49,Combined
3843,2116,29,1,42,Combined
3850,2116,29,1,200,Combined
3851,2116,29,1,196,Combined
3898,2117,30,1,98,Combined
3909,2117,30,1,93,Combined
3916,2117,30,1,104,Combined
3918,2117,30,1,151,Combined
3921,2117,30,1,100,Combined
3933,2117,30,1,215,Combined
3934,2117,30,1,130,Combined
3939,2117,30,1,13,Combined
4086,2117,30,1,40,Combined
4407,2117,30,1,205,Combined
4716,2118,31,1,80,Combined
4717,2118,31,1,172,Combined
4722,2118,31,1,49,Combined
4723,2118,31,1,81,Combined
4729,2118,31,1,100,Combined
4733,2118,31,1,89,Combined
4738,2118,31,1,28,Combined
4799,2118,31,1,93,Combined
4889,2119,32,1,78,Combined
4891,2119,32,1,20,Combined
4894,2119,32,1,32,Combined
4905,2119,32,1,100,Combined
4907,2119,32,1,196,Combined
4915,2119,32,1,42,Combined
4918,2119,32,1,144,Combined
4931,2119,32,1,46,Combined
4935,2119,32,1,12,Combined
4941,2119,32,1,89,Combined
4943,2119,32,1,104,Combined
