Item_id,POI_Type,L2_Category_name,stars,clusters
0,0,0,3.5,0
0,0,1,2.5,0
0,0,2,1.5,0
0,0,3,3.0,0
0,0,4,4.5,0
1,1,5,3.5,1
2,1,6,2.5,1
3,1,7,2.5,2
4,1,8,1.0,0
5,1,9,3.0,0
6,1,10,4.0,2
0,0,11,3.0,0
7,0,3,3.0,3
0,0,12,3.5,0
8,0,13,4.0,4
9,1,14,3.0,0
10,1,12,2.5,0
11,1,15,4.0,0
12,1,16,2.5,0
13,1,17,3.5,5
14,1,6,3.5,0
0,0,18,3.5,0
15,1,19,3.0,1
16,1,16,2.5,2
17,1,20,3.5,2
18,1,21,4.0,2
19,1,12,2.5,0
20,1,22,3.5,4
21,1,12,4.0,0
22,1,23,5.0,6
23,1,20,2.5,0
8,0,24,4.5,4
24,1,9,4.0,2
25,0,25,4.0,0
26,0,12,2.5,0
27,1,26,4.0,6
28,1,27,4.0,0
29,0,28,3.0,2
30,1,9,4.0,0
31,1,29,3.5,2
25,0,12,3.5,0
32,1,30,4.0,1
33,0,9,4.0,2
34,1,12,3.5,7
35,1,31,2.5,4
36,1,31,4.0,4
37,0,32,4.5,4
38,1,33,3.5,0
39,1,8,4.0,0
40,1,34,4.0,2
41,0,35,4.0,4
42,1,16,2.0,4
43,1,16,2.5,2
44,1,19,2.5,2
0,0,36,2.0,0
45,1,34,4.5,0
46,1,37,4.5,0
47,1,38,4.0,0
48,1,39,3.0,0
49,1,16,4.0,2
50,0,1,3.0,1
50,0,4,3.0,1
50,0,40,3.5,1
51,1,14,3.0,1
52,1,15,3.5,1
53,1,34,4.0,2
54,1,41,3.0,2
55,1,42,1.0,1
56,0,43,3.0,1
56,0,44,3.0,1
57,1,16,2.0,1
58,1,16,3.0,1
59,1,6,3.0,1
56,0,45,3.0,1
56,0,21,4.0,1
60,1,46,4.5,1
33,0,43,3.0,2
33,0,44,3.5,2
33,0,44,3.0,2
61,1,47,2.5,1
62,1,48,2.5,1
50,0,49,4.0,1
63,1,14,3.0,1
64,1,16,2.5,1
56,0,26,3.0,1
56,0,44,4.0,1
56,0,44,3.5,1
65,1,27,1.5,1
66,1,50,3.5,2
67,1,50,3.0,2
68,1,6,3.5,1
69,1,6,3.0,2
70,1,6,4.5,2
71,1,37,2.5,1
72,1,22,3.5,1
73,1,44,4.0,1
74,1,51,4.5,2
75,1,52,3.0,2
76,0,37,4.0,4
77,1,53,4.5,1
78,1,54,4.5,1
79,1,55,4.0,1
80,1,37,3.5,1
56,0,22,3.5,1
81,1,14,2.5,1
82,1,41,5.0,1
83,1,41,2.5,1
56,0,43,5.0,1
41,0,56,4.0,4
41,0,57,3.5,4
50,0,58,1.5,1
8,0,59,2.5,4
84,1,59,2.5,4
41,0,45,3.0,4
56,0,43,2.5,1
85,1,60,4.0,4
86,1,61,4.0,3
87,1,6,1.5,5
88,1,6,4.0,0
89,1,6,4.0,4
90,1,6,4.5,2
91,1,7,3.5,0
92,1,62,4.5,2
93,1,60,4.0,2
94,1,63,3.5,0
95,1,64,3.5,2
96,1,64,3.5,2
97,1,14,4.0,0
98,1,53,4.5,0
99,1,65,4.0,0
29,0,66,4.0,2
100,1,66,3.5,2
101,1,67,4.0,2
102,1,66,5.0,2
103,0,68,4.0,3
104,0,69,4.5,6
8,0,70,3.5,4
105,1,27,4.0,2
106,1,37,4.0,2
107,1,71,3.0,1
108,0,12,3.0,1
109,1,72,2.5,3
110,0,73,3.0,8
111,1,6,4.0,2
76,0,27,4.0,4
29,0,37,4.0,2
112,1,19,3.0,2
29,0,54,4.0,2
113,1,37,3.0,2
29,0,37,1.5,2
114,1,54,3.0,2
115,1,72,2.0,1
116,1,74,3.0,2
117,1,75,4.5,6
118,1,54,3.0,6
119,1,74,2.0,2
120,1,76,3.5,6
50,0,77,3.0,1
50,0,11,2.5,1
50,0,78,3.0,1
50,0,27,2.0,1
50,0,11,3.5,1
50,0,79,4.5,1
50,0,80,5.0,1
121,1,54,2.5,1
122,1,20,2.5,1
123,1,42,4.0,1
124,1,33,3.0,1
125,1,71,3.0,1
126,1,81,3.5,3
127,1,44,3.5,4
128,1,82,3.5,3
129,1,55,4.0,3
130,1,50,2.5,8
131,1,25,5.0,3
132,0,52,3.5,3
0,0,83,3.5,0
133,1,6,3.5,7
134,0,84,3.0,7
134,0,85,2.5,7
134,0,27,2.0,7
135,1,6,3.5,6
136,1,74,3.0,4
137,1,86,2.0,5
138,0,9,3.0,7
41,0,2,3.0,4
139,1,42,1.5,3
140,1,12,3.5,7
141,1,65,3.0,7
142,1,22,4.5,4
143,1,87,4.0,1
144,1,88,4.5,1
145,1,34,4.5,2
146,1,89,3.5,4
147,1,90,4.5,0
148,0,6,4.5,4
149,1,22,4.0,2
150,1,65,4.0,0
151,1,26,4.0,4
152,0,4,2.5,9
152,0,37,2.5,9
153,0,91,3.5,6
8,0,54,3.5,4
41,0,72,4.5,4
104,0,37,3.0,6
8,0,22,4.5,4
154,0,37,4.0,0
8,0,92,3.5,4
41,0,93,4.0,4
155,1,37,3.5,2
156,1,70,3.0,2
8,0,90,2.5,4
157,1,94,3.0,0
158,1,31,4.0,0
8,0,95,1.5,4
154,0,73,4.0,0
41,0,1,4.0,4
8,0,42,3.5,4
159,1,94,3.5,4
160,1,2,2.5,0
161,1,2,2.0,0
162,1,54,4.0,4
163,1,31,4.0,0
8,0,4,3.0,4
164,1,96,3.5,3
165,0,97,3.5,6
165,0,2,2.5,6
165,0,37,3.5,6
165,0,55,2.0,6
166,1,20,4.0,3
76,0,90,4.0,4
167,1,2,2.5,0
0,0,15,2.5,0
168,1,98,2.5,0
169,1,98,4.5,6
170,1,6,3.5,0
8,0,98,2.0,4
165,0,99,3.5,6
171,1,25,2.0,4
172,1,9,3.5,2
173,1,9,2.5,2
174,1,100,4.5,1
175,0,71,3.0,4
175,0,9,4.0,4
175,0,9,3.5,4
37,0,12,2.5,4
176,1,101,4.0,2
177,1,6,3.0,2
165,0,4,2.5,6
178,1,17,2.5,6
103,0,12,3.5,3
8,0,70,4.5,4
179,0,30,4.0,4
8,0,12,4.5,4
180,0,27,2.0,8
181,0,4,2.5,5
182,0,20,3.5,3
182,0,37,3.0,3
183,1,102,3.0,1
184,1,63,3.5,7
185,1,103,5.0,7
186,1,25,2.5,4
187,0,12,3.0,7
188,0,12,3.0,7
187,0,104,5.0,7
187,0,24,3.5,7
187,0,97,2.5,7
189,1,105,4.0,9
190,1,71,4.0,6
191,0,12,3.0,9
8,0,37,3.0,4
192,1,65,3.5,4
193,1,105,2.0,5
25,0,106,4.0,0
194,1,54,4.0,6
195,1,107,4.5,1
50,0,108,2.5,1
56,0,109,3.5,1
196,1,42,4.0,3
197,1,2,2.5,3
198,1,6,4.5,3
199,1,39,2.5,3
200,1,54,3.5,3
