,Location_id,Item_id,POI_Type,L2_Category_name,POI
5,5,1,1,5,Independent
6,6,2,1,6,Independent
7,7,3,1,7,Independent
9,8,4,1,8,Independent
10,9,5,1,9,Independent
11,10,6,1,10,Independent
20,15,9,1,14,Independent
21,16,10,1,12,Independent
22,17,11,1,15,Independent
23,18,12,1,16,Independent
25,19,13,1,17,Independent
26,20,14,1,6,Independent
28,22,15,1,19,Independent
34,23,16,1,16,Independent
35,24,17,1,20,Independent
36,25,18,1,21,Independent
39,26,19,1,12,Independent
40,27,20,1,22,Independent
42,28,21,1,12,Independent
43,29,22,1,23,Independent
44,30,23,1,20,Independent
48,32,24,1,9,Independent
51,35,27,1,26,Independent
52,36,28,1,27,Independent
56,38,30,1,9,Independent
60,39,31,1,29,Independent
63,41,32,1,30,Independent
71,43,34,1,12,Independent
74,44,35,1,31,Independent
75,45,36,1,31,Independent
81,47,38,1,33,Independent
83,48,39,1,8,Independent
91,49,40,1,34,Independent
103,51,42,1,16,Independent
106,52,43,1,16,Independent
107,53,44,1,19,Independent
113,55,45,1,34,Independent
114,56,46,1,37,Independent
115,57,47,1,38,Independent
123,58,48,1,39,Independent
125,59,49,1,16,Independent
129,63,51,1,14,Independent
130,64,52,1,15,Independent
131,65,53,1,34,Independent
132,66,54,1,41,Independent
134,67,55,1,42,Independent
138,71,57,1,16,Independent
139,72,58,1,16,Independent
141,73,59,1,6,Independent
147,76,60,1,46,Independent
154,81,61,1,47,Independent
155,82,62,1,48,Independent
167,84,63,1,14,Independent
168,85,64,1,16,Independent
174,89,65,1,27,Independent
175,90,66,1,50,Independent
176,91,67,1,50,Independent
178,92,68,1,6,Independent
184,93,69,1,6,Independent
185,94,70,1,6,Independent
190,95,71,1,37,Independent
196,97,72,1,22,Independent
197,98,73,1,44,Independent
200,99,74,1,51,Independent
201,100,75,1,52,Independent
205,102,77,1,53,Independent
206,103,78,1,54,Independent
211,105,79,1,55,Independent
212,106,80,1,37,Independent
217,108,81,1,14,Independent
220,109,82,1,41,Independent
221,110,83,1,41,Independent
231,116,84,1,59,Independent
237,119,85,1,60,Independent
238,120,86,1,61,Independent
239,121,87,1,6,Independent
240,122,88,1,6,Independent
241,123,89,1,6,Independent
242,124,90,1,6,Independent
243,125,91,1,7,Independent
244,126,92,1,62,Independent
245,127,93,1,60,Independent
246,128,94,1,63,Independent
247,129,95,1,64,Independent
248,130,96,1,64,Independent
249,131,97,1,14,Independent
250,132,98,1,53,Independent
251,133,99,1,65,Independent
253,135,100,1,66,Independent
254,136,101,1,67,Independent
255,137,102,1,66,Independent
259,141,105,1,27,Independent
260,142,106,1,37,Independent
261,143,107,1,71,Independent
263,145,109,1,72,Independent
268,147,111,1,6,Independent
273,150,112,1,19,Independent
276,152,113,1,37,Independent
281,154,114,1,54,Independent
282,155,115,1,72,Independent
284,156,116,1,74,Independent
285,157,117,1,75,Independent
286,158,118,1,54,Independent
287,159,119,1,74,Independent
288,160,120,1,76,Independent
297,168,121,1,54,Independent
298,169,122,1,20,Independent
299,170,123,1,42,Independent
300,171,124,1,33,Independent
301,172,125,1,71,Independent
302,173,126,1,81,Independent
303,174,127,1,44,Independent
304,175,128,1,82,Independent
306,176,129,1,55,Independent
307,177,130,1,50,Independent
308,178,131,1,25,Independent
312,181,133,1,6,Independent
318,185,135,1,6,Independent
319,186,136,1,74,Independent
321,187,137,1,86,Independent
324,190,139,1,42,Independent
326,191,140,1,12,Independent
327,192,141,1,65,Independent
328,193,142,1,22,Independent
329,194,143,1,87,Independent
330,195,144,1,88,Independent
333,196,145,1,34,Independent
334,197,146,1,89,Independent
335,198,147,1,90,Independent
341,200,149,1,22,Independent
345,201,150,1,65,Independent
347,202,151,1,26,Independent
369,213,155,1,37,Independent
370,214,156,1,70,Independent
376,216,157,1,94,Independent
377,217,158,1,31,Independent
387,222,159,1,94,Independent
388,223,160,1,2,Independent
389,224,161,1,2,Independent
390,225,162,1,54,Independent
392,226,163,1,31,Independent
396,228,164,1,96,Independent
404,233,166,1,20,Independent
408,235,167,1,2,Independent
416,237,168,1,98,Independent
417,238,169,1,98,Independent
418,239,170,1,6,Independent
421,242,171,1,25,Independent
424,243,172,1,9,Independent
426,244,173,1,9,Independent
427,245,174,1,100,Independent
433,250,176,1,101,Independent
434,251,177,1,6,Independent
436,253,178,1,17,Independent
446,262,183,1,102,Independent
448,263,184,1,63,Independent
449,264,185,1,103,Independent
450,265,186,1,25,Independent
465,271,189,1,105,Independent
468,272,190,1,71,Independent
476,275,192,1,65,Independent
477,276,193,1,105,Independent
510,282,194,1,54,Independent
516,283,195,1,107,Independent
526,286,196,1,42,Independent
527,287,197,1,2,Independent
530,288,198,1,6,Independent
531,289,199,1,39,Independent
534,291,200,1,54,Independent
535,292,201,1,110,Independent
539,293,202,1,92,Independent
542,294,203,1,12,Independent
547,296,205,1,111,Independent
548,297,206,1,112,Independent
549,298,207,1,113,Independent
550,299,208,1,6,Independent
553,301,210,1,98,Independent
554,302,211,1,20,Independent
555,303,212,1,37,Independent
560,306,213,1,20,Independent
565,309,214,1,114,Independent
566,310,215,1,27,Independent
579,313,217,1,9,Independent
580,314,218,1,2,Independent
581,315,219,1,25,Independent
593,318,220,1,53,Independent
595,319,221,1,9,Independent
597,321,222,1,93,Independent
600,323,223,1,115,Independent
601,324,224,1,115,Independent
602,325,225,1,116,Independent
604,326,226,1,20,Independent
609,327,227,1,111,Independent
611,328,228,1,117,Independent
612,329,229,1,42,Independent
616,330,230,1,20,Independent
619,331,231,1,118,Independent
625,332,232,1,99,Independent
643,333,233,1,115,Independent
649,334,234,1,105,Independent
660,335,235,1,105,Independent
662,336,236,1,9,Independent
667,337,237,1,20,Independent
674,338,238,1,20,Independent
678,339,239,1,22,Independent
689,341,240,1,12,Independent
691,342,241,1,116,Independent
701,343,242,1,20,Independent
707,344,243,1,115,Independent
711,345,244,1,118,Independent
739,349,246,1,110,Independent
792,351,247,1,20,Independent
807,355,248,1,2,Independent
808,356,249,1,2,Independent
829,358,250,1,27,Independent
848,362,251,1,119,Independent
854,363,252,1,120,Independent
865,366,253,1,121,Independent
866,367,254,1,122,Independent
868,368,255,1,123,Independent
873,371,257,1,12,Independent
874,372,258,1,12,Independent
876,373,259,1,16,Independent
877,374,260,1,16,Independent
881,375,261,1,25,Independent
887,378,262,1,125,Independent
894,384,263,1,57,Independent
895,385,264,1,12,Independent
897,387,265,1,16,Independent
901,388,266,1,6,Independent
907,394,268,1,104,Independent
908,395,269,1,20,Independent
911,398,271,1,93,Independent
912,399,272,1,22,Independent
921,404,274,1,22,Independent
939,410,275,1,22,Independent
940,411,276,1,128,Independent
941,412,277,1,31,Independent
