Location_id,Item_id,POI_Type,User_id,Latitude,Longitude,L2_Category_name,name,stars,Time,Date,POI,clusters,L1_Category_name,L1_Category,counts,new_time
0,0,0,0,33.520454,-112.099745,0,Metro Montebello/19th Ave,3.5,21:51:04,2012403,Combined,0,0,Travel & Transport,5,21
1,0,0,0,33.522793,-112.09548,1,Christown Spectrum,2.5,21:54:40,2012403,Combined,0,1,Shop & Service,5,21
2,0,0,0,33.522757,-112.09891299999998,2,Bank of America,1.5,21:59:33,2012403,Combined,0,1,Shop & Service,5,21
3,0,0,0,33.522777000000005,-112.09398799999998,3,Seva Beauty,3.0,22:40:24,2012403,Combined,0,1,Shop & Service,5,22
4,0,0,0,33.520897,-112.098139,4,Target Optical,4.5,22:54:19,2012403,Combined,0,1,Shop & Service,5,22
5,1,1,0,33.43736,-111.999649,5,Prairie News and Gifts,3.5,18:10:22,2012409,Independent,1,1,Shop & Service,2,18
6,2,1,0,33.435758,-111.997897,6,El Bravo Sky Harbor,2.5,18:17:32,2012409,Independent,1,2,Food,2,18
7,3,1,0,33.465472,-112.082981,7,Pei Wei,2.5,2:47:32,2012412,Independent,2,2,Food,2,2
5,1,1,0,33.43736,-111.999649,5,Prairie News and Gifts,3.5,13:30:10,2012412,Independent,1,1,Shop & Service,2,13
8,4,1,0,33.495619,-112.073802,8,Arco AMPM Station,1.0,1:12:07,2012415,Independent,0,0,Travel & Transport,2,1
9,5,1,0,33.506915,-112.074183,9,Sweet Venezia,3.0,4:40:59,2012415,Independent,0,2,Food,2,4
10,6,1,0,33.450507,-112.072668,10,A Magic Touch Mobile Massage,4.0,21:54:25,2012419,Independent,2,1,Shop & Service,3,21
0,0,0,0,33.520454,-112.099745,0,Metro Montebello/19th Ave,3.5,23:26:57,2012419,Combined,0,0,Travel & Transport,3,23
11,0,0,0,33.522685,-112.098055,11,Ross Dress for Less,3.0,23:30:48,2012419,Combined,0,1,Shop & Service,3,23
12,7,0,0,33.574603,-112.121339,3,Custom License Plates,3.0,0:15:54,2012420,Combined,3,1,Shop & Service,5,0
13,0,0,0,33.521415000000005,-112.09548,12,Costco,3.5,0:50:57,2012420,Combined,0,1,Shop & Service,5,0
2,0,0,0,33.522757,-112.09891299999998,2,Bank of America,1.5,1:24:51,2012420,Combined,0,1,Shop & Service,5,1
0,0,0,0,33.520454,-112.099745,0,Metro Montebello/19th Ave,3.5,1:37:14,2012420,Combined,0,0,Travel & Transport,5,1
7,3,1,0,33.465472,-112.082981,7,Pei Wei,2.5,3:26:09,2012420,Independent,2,2,Food,5,3
14,8,0,0,33.510046,-112.045634,13,Total Wine & More,4.0,0:54:48,2012421,Combined,4,1,Shop & Service,3,0
15,9,1,0,33.48865,-112.082403,14,Subway,3.0,4:03:42,2012421,Independent,0,2,Food,3,4
16,10,1,0,33.488271999999995,-112.081581,12,Safeway,2.5,4:34:12,2012421,Independent,0,1,Shop & Service,3,4
